name,artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,sentiment,mood
Members Only (feat. PARTYNEXTDOOR),Drake,24FUBxaAYSBlWsbSnEzDcn,0.647,0.34,-8.795,0.0496,0.245,0.0,0.107,91.998,0.176,-0.9974,Calm
TEMPTATION,Joey Bada$$,3gJDgenxLephg09x86IxPs,0.775,0.707,-5.339,0.152,0.397,0.0,0.874,104.979,0.78,-0.9972,Calm
Soundtrack 2 My Life,Kid Cudi,0rFpcfF0YfvFUYsl99Bw9d,0.464,0.754,-6.653,0.128,0.465,1.57e-05,0.37,86.501,0.444,-0.9548,Calm
Kevin’s Heart,J. Cole,6tZ3b7ik1QDXFAZlXib0YZ,0.829,0.527,-6.644,0.367,0.482,0.0,0.631,116.079,0.475,0.9647,Calm
These Walls,Kendrick Lamar,7uWVT3UkCAZyANvv0bdyQn,0.752,0.489,-5.233,0.137,0.11,3.57e-06,0.202,108.005,0.373,-0.9758,Calm
Jet Fuel,Mac Miller,2JmFRXaJrkAUD2cs6U20KG,0.791,0.557,-9.622,0.0698,0.54,0.0,0.103,119.973,0.284,-0.9331,Calm
I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,-5.408,0.0382,0.0689,0.0,0.196,143.95,0.291,-0.9915,Calm
Hoe Cakes,MF DOOM,4b82tXj35SycILuILcgBQ6,0.511,0.613,-6.371,0.321,0.0987,0.0,0.144,92.184,0.95,0.9882,Calm
Partin Ways,Polo G,5Y3ID1NKAg8qydyVCrM7ji,0.744,0.439,-11.891,0.0632,0.424,0.0,0.104,124.008,0.39,-0.9928,Calm
4r Da Squaw,Isaiah Rashad,71lyUtIPCMAYjTwwwxy2jW,0.667,0.523,-9.477,0.329,0.532,2.12e-05,0.137,143.934,0.409,0.9918,Calm
Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,-5.692,0.0603,0.151,0.0,0.14,105.029,0.219,0.9918,Calm
One Of Your Girls,Troye Sivan,1Fav4xZn60uGM3XmiHJmvT,0.637,0.639,-7.832,0.0542,0.0926,0.00503,0.223,92.987,0.81,0.9625,Calm
Snooze,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,-7.231,0.132,0.141,0.0,0.11,143.008,0.392,0.9725,Calm
Feather,Sabrina Carpenter,2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,-4.37,0.0339,0.0893,0.0,0.0927,123.51,0.836,0.9627,Calm
lacy,Olivia Rodrigo,6QT6j7rKt7Vk3IuV2AUO9W,0.455,0.379,-7.628,0.0341,0.803,0.0,0.109,76.967,0.413,0.9463,Calm
cardigan,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,130.033,0.551,0.9941,Calm
SNAP,Rosa Linn,76OGwb5RA9h4FxQPT33ekc,0.565,0.636,-8.198,0.0638,0.107,9.9e-06,0.447,170.01,0.525,0.8457,Calm
ceilings,Lizzy McAlpine,2L9N0zZnd37dwF0clgxMGI,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,148.005,0.261,0.995,Calm
